MouseId,Group,Time,Time_fac,Ipsi,Contra,Contra_Ipsi
A1,VEH,0,5min,27.21,44.655,35.93
A2,VEH,0,5min,21.865,43.745,32.8
A3,VEH,0,5min,21.43,41.335,31.38
A4,VEH,0,5min,23.36,38.89,31.125
A5,VEH,0,5min,23.075,50.455,36.76
A6,P250,0,5min,23.08,40.75,31.91
A7,P250,0,5min,20.815,45,32.9
A8,P250,0,5min,28,39.7,33.85
A9,P250,0,5min,25.36,48.35,36.85
A10,P250,0,5min,22.43,43.665,33.04
A1,VEH,1,24h,47.68,45.935,46.8
A2,VEH,1,24h,33.415,35.92,34.66
A3,VEH,1,24h,33.275,38.84,36.05
A4,VEH,1,24h,39.565,38.55,39.05
A5,VEH,1,24h,31.625,38.48,35.05
A6,P250,1,24h,42.08,45.2,43.64
A7,P250,1,24h,41.195,48.69,44.94
A8,P250,1,24h,47.265,45.64,46.45
A9,P250,1,24h,38.44,41.35,39.89
A10,P250,1,24h,34.9,35.605,35.05
A1,VEH,7,1W,43.375,45.55,44.46
A2,VEH,7,1W,42.21,34.21,38.21
A3,VEH,7,1W,42.88,48.995,45.93
A4,VEH,7,1W,41.16,42.155,41.65
A5,VEH,7,1W,37.415,40.28,38.84
A6,P250,7,1W,43.635,37.265,40.45
A7,P250,7,1W,47.615,45.79,46.7
A8,P250,7,1W,47.535,51.215,49.37
A9,P250,7,1W,46.865,49.74,48.3
A10,P250,7,1W,52.77,49.42,51.09
